T;X1
1;1.5
2;2.7
3;5.409730139
4;7.899552124
5;7.460713957
6;8.629593858
7;9.606793841
8;11.12442294
9;9.228115443
10;12.78568768
11;13.28463924
12;9.497178767
13;4.41808883
14;10.82081908
15;13.23808854
16;14.5900441
17;11.57453641
18;11.50284554
19;10.20925722
20;8.58765632
21;11.40300572
22;12.8839472
23;10.66388183
24;6.961706458
25;6.749143925
26;12.38454214
27;15.75902118
28;8.961304816
29;8.406844306
30;7.728187431
31;8.849661147
32;8.538319887
33;7.584688106
34;9.572546937
35;9.992895712
36;8.089752999
37;8.083898029
38;5.947861442
39;5.876223987
40;15.2922859
41;11.98105559
42;8.829228634
43;10.92966435
44;7.983674535
45;7.265237812
46;8.332424776
47;13.76830537
48;15.0144848
49;16.87991581
50;12.79426676
51;10.71269873
52;11.28812138
53;10.94538224
54;11.29314802
55;11.92871548
56;11.10501515
57;14.50003457
58;14.91119684
59;13.38997281
60;11.63144369
61;12.87685889
62;12.0944459
63;11.46629199
64;16.8399189
65;14.37009446
66;13.64857235
67;15.10788594
68;10.64685575
69;11.04910728
70;13.11658468
71;12.29634422
72;12.22422107
73;10.37264798
74;13.67653239
75;18.61492669
76;19.39643712
77;22.75493888
78;20.82341103
79;23.44003129
80;28.00271479
81;25.30012702
82;21.9849402
83;22.56977345
84;23.65263352
85;27.54976897
86;25.11807643
87;24.42395488
88;26.64504669
89;33.67280049
90;32.9268579
91;28.56514839
92;28.54256526
93;26.3422649
94;29.1270394
95;31.09109017
96;33.57405403
97;31.03762777
98;31.74947142
99;26.4148873
100;26.19911066
101;24.90059578
102;24.91344613
103;22.18827811
104;25.20718739
105;22.85885753
106;20.49260457
107;22.12438718
108;25.72969864
109;23.11408454
110;27.40219994
111;28.97806369
112;26.34314134
113;29.27147445
114;30.4721448
115;31.91537387
116;28.55751869
117;28.64214476
118;32.29342455
119;30.19494664
120;28.175469
121;20.97737409
122;23.55542377
123;23.42872921
124;21.15024702
125;23.05392452
126;20.64210638
127;22.22298146
128;19.87991787
129;20.52000073
130;16.86756823
131;18.9705648
132;20.92146719
133;19.68194373
134;21.95408004
135;19.85792745
136;16.8040829
137;22.22247364
138;20.11106167
139;21.74821095
140;22.5580501
141;19.14489509
142;11.90913146
143;15.38323844
144;13.95804089
145;14.62002367
146;16.06672765
147;14.27186324
148;15.60482775
149;12.8701987
150;11.70458858
151;17.52924352
152;16.10625935
153;15.59604661
154;12.30824483
155;11.32724701
156;10.07533826
157;11.36016662
158;12.7194647
159;14.35282641
160;12.78529887
161;17.72120159
162;11.9635587
163;14.17383437
164;18.26421643
165;19.03621945
166;22.54026416
167;21.55008345
168;22.41287672
169;25.68329243
170;23.13372278
171;27.74236305
172;24.6830959
173;25.97119523
174;23.45707644
175;28.39499631
176;16.56061798
177;15.16639723
178;18.14703346
179;23.41328319
180;25.18600904
181;21.08737887
182;20.62234395
183;22.32241847
184;23.07222535
185;30.62370939
186;24.4049098
187;24.32075857
188;23.03969758
189;24.4725726
190;20.76943047
191;21.97196046
192;21.88920233
193;22.58582157
194;21.20058179
195;26.15382621
196;22.6122645
197;25.49014272
198;28.43644961
199;24.78367025
200;21.05453301
201;27.0115022
202;27.21158258
203;21.92501939
204;22.41199142
205;24.05203768
206;19.96966397
207;20.76825107
208;17.41097531
209;21.42027056
210;20.81602556
211;19.74050236
212;19.663723
213;25.34832051
214;23.06626749
215;21.27933338
216;14.3563695
217;17.11061237
218;20.43820404
219;20.92979891
220;19.61130429
